ts,event_slug,check,strong_slug,weak_slug,bid_strong,ask_weak,gross_gap,net_gap,exec_size,verified_gross_gap,still_violated,accepting_both
2026-07-25T19:47:19+00:00,mlb-stl-cin-2026-05-24,over_ladder,mlb-stl-cin-2026-05-24-total-12pt5,mlb-stl-cin-2026-05-24-total-11pt5,0.28,0.21,0.07,0.055,2.2,0.07,True,True
2026-07-25T19:47:46+00:00,mlb-stl-cin-2026-05-24,over_ladder,mlb-stl-cin-2026-05-24-total-12pt5,mlb-stl-cin-2026-05-24-total-11pt5,0.28,0.21,0.07,0.055,2.2,0.07,True,True
2026-07-25T19:48:12+00:00,mlb-stl-cin-2026-05-24,over_ladder,mlb-stl-cin-2026-05-24-total-12pt5,mlb-stl-cin-2026-05-24-total-11pt5,0.28,0.21,0.07,0.055,2.2,0.07,True,True
2026-07-25T19:48:37+00:00,mlb-stl-cin-2026-05-24,over_ladder,mlb-stl-cin-2026-05-24-total-12pt5,mlb-stl-cin-2026-05-24-total-11pt5,0.28,0.21,0.07,0.055,2.2,0.07,True,True
2026-07-25T19:49:03+00:00,mlb-stl-cin-2026-05-24,over_ladder,mlb-stl-cin-2026-05-24-total-12pt5,mlb-stl-cin-2026-05-24-total-11pt5,0.28,0.21,0.07,0.055,2.2,0.07,True,True
2026-07-25T19:49:28+00:00,mlb-stl-cin-2026-05-24,over_ladder,mlb-stl-cin-2026-05-24-total-12pt5,mlb-stl-cin-2026-05-24-total-11pt5,0.28,0.21,0.07,0.055,2.2,0.07,True,True
2026-07-25T19:49:54+00:00,mlb-stl-cin-2026-05-24,over_ladder,mlb-stl-cin-2026-05-24-total-12pt5,mlb-stl-cin-2026-05-24-total-11pt5,0.28,0.21,0.07,0.055,2.2,0.07,True,True
2026-07-25T19:50:19+00:00,mlb-stl-cin-2026-05-24,over_ladder,mlb-stl-cin-2026-05-24-total-12pt5,mlb-stl-cin-2026-05-24-total-11pt5,0.28,0.21,0.07,0.055,2.2,0.07,True,True
2026-07-25T19:50:45+00:00,mlb-stl-cin-2026-05-24,over_ladder,mlb-stl-cin-2026-05-24-total-12pt5,mlb-stl-cin-2026-05-24-total-11pt5,0.28,0.21,0.07,0.055,2.2,0.07,True,True
2026-07-25T19:51:11+00:00,mlb-stl-cin-2026-05-24,over_ladder,mlb-stl-cin-2026-05-24-total-12pt5,mlb-stl-cin-2026-05-24-total-11pt5,0.28,0.21,0.07,0.055,2.2,0.07,True,True
2026-07-25T19:51:36+00:00,mlb-stl-cin-2026-05-24,over_ladder,mlb-stl-cin-2026-05-24-total-12pt5,mlb-stl-cin-2026-05-24-total-11pt5,0.28,0.21,0.07,0.055,2.2,0.07,True,True
2026-07-25T19:52:02+00:00,mlb-stl-cin-2026-05-24,over_ladder,mlb-stl-cin-2026-05-24-total-12pt5,mlb-stl-cin-2026-05-24-total-11pt5,0.28,0.21,0.07,0.055,2.2,0.07,True,True
2026-07-25T19:52:27+00:00,mlb-stl-cin-2026-05-24,over_ladder,mlb-stl-cin-2026-05-24-total-12pt5,mlb-stl-cin-2026-05-24-total-11pt5,0.28,0.21,0.07,0.055,2.2,0.07,True,True
2026-07-25T19:52:53+00:00,mlb-stl-cin-2026-05-24,over_ladder,mlb-stl-cin-2026-05-24-total-12pt5,mlb-stl-cin-2026-05-24-total-11pt5,0.28,0.21,0.07,0.055,2.2,0.07,True,True
2026-07-25T19:53:18+00:00,mlb-stl-cin-2026-05-24,over_ladder,mlb-stl-cin-2026-05-24-total-12pt5,mlb-stl-cin-2026-05-24-total-11pt5,0.28,0.21,0.07,0.055,2.2,0.07,True,True
